exp_no,cores,parallelization,batch_size,learning_rate,max_epoch,start_time,end_time,job_name
1,1,1,32,0.01,5,2021-10-24T22:46:19Z,2021-10-24T22:53:33Z,trainjob-21c0eb15-2eb5-4fb1-b98e-040ea48773d9
2,1,1,32,0.01,5,2021-10-24T22:54:07Z,2021-10-24T23:01:05Z,trainjob-d1ae02cc-3506-4f5f-8282-52ce7be1226b
3,1,1,32,0.01,20,2021-10-24T23:01:56Z,2021-10-24T23:29:26Z,trainjob-6e445191-2994-4613-83fc-0e1e3f440995
4,1,1,32,0.01,20,2021-10-24T23:30:02Z,2021-10-24T23:56:31Z,trainjob-0b5a7d76-09fd-4f95-88ca-3f96e17af956
5,1,1,32,0.05,5,2021-10-24T23:57:22Z,2021-10-25T00:03:43Z,trainjob-7eb5ff0a-f213-4646-8ee9-442bb2c1e1d9
6,1,1,32,0.05,5,2021-10-25T00:04:15Z,2021-10-25T00:11:06Z,trainjob-f376e4fe-15d5-4536-bc8b-f02bbb88bea7
7,1,1,32,0.05,20,2021-10-25T00:11:54Z,2021-10-25T00:37:06Z,trainjob-67c4e4f3-8e64-42be-ae78-465353ad5ad9
8,1,1,32,0.05,20,2021-10-25T00:37:39Z,2021-10-25T01:02:33Z,trainjob-e4a2722a-b488-42cf-b8e9-2a44136f2ef3
9,1,1,256,0.01,5,2021-10-25T01:03:22Z,2021-10-25T01:08:56Z,trainjob-c7ec5165-0b99-4342-bf86-c566743f3e61
10,1,1,256,0.01,5,2021-10-25T01:09:29Z,2021-10-25T01:14:54Z,trainjob-ebb79641-751b-4217-a9e5-3ebafe6c317f
11,1,1,256,0.01,20,2021-10-25T01:15:43Z,2021-10-25T01:38:02Z,trainjob-7fcd2ec0-16c6-4eb1-94d4-bd363924881c
12,1,1,256,0.01,20,2021-10-25T01:38:36Z,2021-10-25T02:00:04Z,trainjob-ff971817-560a-4f01-ba80-1c92009453dd
13,1,1,256,0.05,5,2021-10-25T02:00:52Z,2021-10-25T02:06:02Z,trainjob-dc7bf885-9199-4a1e-bc62-52c329afaac5
14,1,1,256,0.05,5,2021-10-25T02:06:35Z,2021-10-25T02:11:48Z,trainjob-08fb056d-ce33-4d47-8621-58d8a3d9ea31
15,1,1,256,0.05,20,2021-10-25T02:12:35Z,2021-10-25T02:33:57Z,trainjob-e80dbf50-3aa3-46b2-9ea7-010e8d36c2ce
16,1,1,256,0.05,20,2021-10-25T02:34:30Z,2021-10-25T02:54:52Z,trainjob-a34dcade-d869-47a7-b4c3-482d4d3ef9a2
17,1,4,32,0.01,5,2021-10-25T02:55:40Z,2021-10-25T02:58:43Z,trainjob-138578dc-6de3-482c-840d-17405b152853
18,1,4,32,0.01,5,2021-10-25T02:59:15Z,2021-10-25T03:02:18Z,trainjob-85a3fe60-326b-4e57-8572-36cc1e858541
19,1,4,32,0.01,20,2021-10-25T03:03:08Z,2021-10-25T03:14:55Z,trainjob-65d877ec-bb9e-452d-95fc-2bdcbef4d9ca
20,1,4,32,0.01,20,2021-10-25T03:15:28Z,2021-10-25T03:27:10Z,trainjob-76c7aa2c-b655-4212-bc29-bcc10cca29c8
21,1,4,32,0.05,5,2021-10-25T03:27:58Z,2021-10-25T03:30:55Z,trainjob-bd9cad64-8624-4405-ac7f-c14e78c7df1f
22,1,4,32,0.05,5,2021-10-25T03:31:28Z,2021-10-25T03:34:27Z,trainjob-1bc17d4e-ab89-4b11-879f-3b788e72fca6
23,1,4,32,0.05,20,2021-10-25T03:35:15Z,2021-10-25T03:46:53Z,trainjob-0f4983aa-d4d4-40be-ab18-c03b7b161b0b
24,1,4,32,0.05,20,2021-10-25T03:47:26Z,2021-10-25T03:59:07Z,trainjob-77d4b88c-a95c-4d31-9e59-6d00e6cd44db
25,1,4,256,0.01,5,2021-10-25T03:59:57Z,,trainjob-a3414690-a039-42d0-8bd6-41a24c1b6244
26,1,4,256,0.01,5,2021-10-25T04:02:43Z,2021-10-25T04:04:54Z,trainjob-6e27bb37-cfe0-4140-ab2c-eb715150b838
27,1,4,256,0.01,20,2021-10-25T04:05:42Z,2021-10-25T04:14:06Z,trainjob-3cbf37e6-4350-4bbf-930f-6062ec5d1236
28,1,4,256,0.01,20,2021-10-25T04:14:39Z,2021-10-25T04:23:09Z,trainjob-a84f352d-1c25-4d28-a636-a2fa801148d9
29,1,4,256,0.05,5,2021-10-25T04:23:55Z,2021-10-25T04:26:07Z,trainjob-4e92e5a1-4c95-464e-b71b-24ffdf110bff
30,1,4,256,0.05,5,2021-10-25T04:26:40Z,2021-10-25T04:28:50Z,trainjob-92abf24a-6e0a-43bc-abdc-2e7522dfc436
31,1,4,256,0.05,20,2021-10-25T04:29:37Z,2021-10-25T04:37:49Z,trainjob-26f200f6-b0a8-45e6-ad2a-1339d0e5aae0
32,1,4,256,0.05,20,2021-10-25T04:38:21Z,2021-10-25T04:46:42Z,trainjob-6f520a0b-b29d-47d2-a355-7bafbb2f3f66
33,3,1,32,0.01,5,2021-10-25T04:47:28Z,2021-10-25T04:50:35Z,trainjob-d5851044-7a80-4d4b-8ef7-b988e2791484
34,3,1,32,0.01,5,2021-10-25T04:51:07Z,2021-10-25T04:54:22Z,trainjob-cbf9aef9-2445-4ec0-b2c4-78966495e6d5
exp_no,cores,parallelization,batch_size,learning_rate,max_epoch,start_time,end_time,job_name
exp_no,cores,parallelization,batch_size,learning_rate,max_epoch,start_time,end_time,job_name
exp_no,cores,parallelization,batch_size,learning_rate,max_epoch,start_time,end_time,job_name
35,3,1,32,0.01,20,2021-10-25T05:49:51Z,2021-10-25T06:02:51Z,trainjob-d942d9a3-518b-4c62-b51c-2547de0977d4
36,3,1,32,0.01,20,2021-10-25T06:03:25Z,2021-10-25T06:14:59Z,trainjob-f82a9bad-84e8-4ab2-9860-da965e9beb7b
