exp_no,cores,parallelization,batch_size,learning_rate,max_epoch,start_time,end_time,job_name
1,1,1,32,0.01,5,2021-10-24T05:09:49Z,2021-10-24T05:16:47Z,trainjob-378d26fb-8305-40a8-aba9-ecb415b6a7fa
2,1,1,32,0.01,20,2021-10-24T05:17:24Z,2021-10-24T05:42:48Z,trainjob-651e8b09-1210-4268-8d1d-772c8bc1ae2b
3,1,1,32,0.05,5,2021-10-24T05:43:28Z,2021-10-24T05:50:29Z,trainjob-064acb25-1abf-4e30-8eb7-5f57ffd2c771
4,1,1,32,0.05,20,2021-10-24T05:51:09Z,2021-10-24T06:18:49Z,trainjob-758448f9-3adc-4140-a146-d6c1a67f89ee
5,1,1,256,0.01,5,2021-10-24T06:19:31Z,2021-10-24T06:25:04Z,trainjob-13531395-ab6e-468a-a8ba-1f6d5b387133
6,1,1,256,0.01,20,2021-10-24T06:25:42Z,2021-10-24T06:47:48Z,trainjob-755b2212-ed33-4982-a123-1fb25a21f230
7,1,1,256,0.05,5,2021-10-24T06:48:30Z,2021-10-24T06:54:00Z,trainjob-074d15d5-cc16-4d80-a4d7-afcab893deaa
8,1,1,256,0.05,20,2021-10-24T06:54:38Z,2021-10-24T07:13:34Z,trainjob-3ed38ede-ec50-4f0e-b1f0-158469ef5934
9,1,4,32,0.01,5,2021-10-24T07:14:13Z,2021-10-24T07:16:48Z,trainjob-8160b0a5-9c3c-4a20-bb78-410d94f6fd91
10,1,4,32,0.01,20,2021-10-24T07:17:32Z,2021-10-24T07:29:24Z,trainjob-f1454b4a-40f0-422f-9b42-a251d9dfeb17
11,1,4,32,0.05,5,2021-10-24T07:30:09Z,,trainjob-90d2d04a-6f40-494f-ab03-3301964d9caf
12,1,4,32,0.05,20,2021-10-24T07:33:56Z,2021-10-24T07:45:36Z,trainjob-206154f7-2b91-4e1a-b18d-9a73f96e8d15
13,1,4,256,0.01,5,2021-10-24T07:46:20Z,,trainjob-6e2590c1-87c4-4144-83be-ffd4805054a5
14,1,4,256,0.01,20,2021-10-24T07:49:17Z,2021-10-24T07:57:49Z,trainjob-8cfe9b07-95d6-46c9-a1ed-668bb07a788c
15,1,4,256,0.05,5,2021-10-24T07:58:32Z,2021-10-24T08:00:44Z,trainjob-5eaa4400-3b8b-4d05-8253-f2b1f777301e
16,1,4,256,0.05,20,2021-10-24T08:01:29Z,2021-10-24T08:09:01Z,trainjob-8d1fe5c0-4c51-4b6e-9cf3-adb79828e860
17,3,1,32,0.01,5,2021-10-24T08:09:47Z,2021-10-24T08:12:54Z,trainjob-163e8859-6859-4d5b-95da-cae1540323f1
18,3,1,32,0.01,20,2021-10-24T08:13:37Z,2021-10-24T08:25:58Z,trainjob-21d8dd29-d6e6-4878-84ab-736d38a6dfc5
19,3,1,32,0.05,5,2021-10-24T08:26:43Z,2021-10-24T08:30:04Z,trainjob-2a173d77-a192-4be3-8c08-a42a24d02cbf
20,3,1,32,0.05,20,2021-10-24T08:30:48Z,2021-10-24T08:43:59Z,trainjob-c2d1455c-56bf-41d0-ac93-6b9378ae2469
21,3,1,256,0.01,5,2021-10-24T08:44:47Z,2021-10-24T08:47:41Z,trainjob-903edebd-0ff3-417e-ad4b-da96308bd95d
22,3,1,256,0.01,20,2021-10-24T08:48:24Z,2021-10-24T08:59:52Z,trainjob-7d6fdeb7-43ff-4ce8-bb51-3e74bda29ad5
23,3,1,256,0.05,5,2021-10-24T09:00:37Z,2021-10-24T09:03:17Z,trainjob-9dcdadd5-1b43-4ae7-91c2-bb0f4e287dc4
24,3,1,256,0.05,20,2021-10-24T09:04:01Z,2021-10-24T09:14:53Z,trainjob-f12f770f-970e-4e77-b9fc-42fb5a75a06c
25,3,4,32,0.01,5,2021-10-24T09:15:41Z,2021-10-24T09:17:50Z,trainjob-d0ff2289-933f-4cbb-b945-8abca3d83930
26,3,4,32,0.01,20,2021-10-24T09:18:32Z,2021-10-24T09:23:04Z,trainjob-4df32b40-8092-4dd2-a567-4f2f2309e650
27,3,4,32,0.05,5,2021-10-24T09:23:50Z,2021-10-24T09:25:05Z,trainjob-5d7ab8cc-1abb-4e47-bf86-f25be054101d
28,3,4,32,0.05,20,2021-10-24T09:25:49Z,2021-10-24T09:30:22Z,trainjob-a8c8250e-7c24-42f6-b503-4cc13386fd51
29,3,4,256,0.01,5,2021-10-24T09:31:06Z,2021-10-24T09:32:00Z,trainjob-1a01da13-50f0-4a26-8775-ae79a0d9f5c0
30,3,4,256,0.01,20,2021-10-24T09:32:41Z,2021-10-24T09:35:58Z,trainjob-6c94fc29-a04b-480f-9c04-00dfea8a883a
31,3,4,256,0.05,5,2021-10-24T09:36:42Z,2021-10-24T09:37:38Z,trainjob-2c172834-2a47-498b-8575-ba6da54b8dd1
32,3,4,256,0.05,20,2021-10-24T09:38:21Z,2021-10-24T09:41:35Z,trainjob-ac6a216e-1c94-4e6d-bfba-0517da404b50
